id,Date,price,bedrooms,bathrooms,sqft_lot,floors,waterfront,view,condition,sqft_basement,yr_built,yr_renovated,zipcode,lat,long
2524049179,08/26/14,2000000,3,2.75,44867,1,0,4,3,720,1968,0,98040,47.5316,-122.233
7922800400,08/27/14,951000,5,3.25,14342,2,0,4,4,0,1968,0,98008,47.588,-122.116
8096000060,04/13/15,655000,2,1.75,15798,2,1,4,3,220,1915,1978,98166,47.4497,-122.375
2025069065,09/29/14,2400000,4,2.5,8354,1,1,4,3,1820,2000,0,98074,47.6338,-122.072
2123039032,10/27/14,369900,1,0.75,10079,1,1,4,5,0,1936,0,98070,47.4683,-122.438
3225069065,06/24/14,3075000,4,5,18641,1,1,4,3,1950,2002,0,98074,47.6053,-122.077
1860600135,05/02/14,2384000,5,2.5,9050,2,0,4,5,280,1921,0,98119,47.6345,-122.367
1560930070,09/11/14,840000,4,3.5,40139,1,0,4,4,0,1986,0,98038,47.401,-122.026
622049114,02/18/15,2125000,3,2.5,24069,2,1,4,4,0,1976,0,98166,47.4169,-122.348
2998800125,07/01/14,730000,2,2.25,4920,1.5,0,4,4,600,1941,0,98116,47.573,-122.409
3760500116,11/20/14,3070000,3,2.5,55867,1,1,4,4,1600,1957,0,98034,47.7022,-122.224
1563102435,12/10/14,950000,3,1.75,4200,1,0,4,5,1010,1960,0,98116,47.5671,-122.405
9273200140,01/21/15,1310000,2,2.25,3938,2,0,4,3,1040,1991,0,98116,47.5912,-122.384
7855300200,03/19/15,1242500,4,2.75,8500,1,0,4,4,1200,1962,0,98006,47.5634,-122.156
7567600045,08/27/14,825000,2,1,12775,1,1,4,4,0,1908,0,98178,47.502,-122.222
4055701200,04/21/15,1955000,4,2.75,7898,1,1,4,4,1560,1963,0,98034,47.7165,-122.259
8069000075,12/29/14,790000,4,1.75,10061,1,1,4,3,1050,1961,0,98178,47.5105,-122.238
1247600105,10/20/14,5110800,5,5.25,45517,2,1,4,3,2020,1999,0,98033,47.6767,-122.211
7558700030,04/13/15,5300000,6,6,24829,2,1,4,4,2390,1991,0,98040,47.5631,-122.21
1925069082,05/11/15,2200000,5,4.25,22703,2,1,4,5,1780,1952,0,98052,47.6393,-122.097
7663700030,05/03/15,1175000,2,2.5,7155,2,1,4,3,0,1957,2004,98155,47.7345,-122.285
8073000550,04/15/15,1700000,4,3.75,17186,2,1,4,3,0,1999,0,98178,47.5115,-122.246
8907500070,04/13/15,5350000,5,5,23985,2,0,4,3,1280,2009,0,98004,47.6232,-122.22
1925069121,03/30/15,960000,3,2.5,4102,3,1,4,3,0,1996,0,98074,47.645,-122.084
913000340,01/02/15,252000,1,1,1638,1,0,4,1,0,1910,1992,98116,47.5832,-122.399
9322800260,09/12/14,550000,4,1.75,5688,2,0,4,4,300,1939,0,98146,47.5071,-122.387
7855000550,12/01/14,1100000,4,2.5,13800,1,0,4,4,1800,1969,0,98006,47.5671,-122.157
1922039062,04/20/15,480000,2,1.5,26487,1,1,4,4,0,1943,2002,98070,47.3853,-122.479
2489200070,07/20/14,767500,6,3.5,6000,2,0,4,3,190,1916,1990,98136,47.54,-122.382
3623500260,05/12/14,1200000,3,1.75,8078,1.5,1,4,4,0,1928,0,98040,47.5779,-122.246
